Member Id	Total Solved Questions
-	320
-	16
24070521001	630
24070521002	0
24070521003	517
24070521004	576
24070521005	431
24070521006	449
24070521007	470
24070521008	289
24070521009	630
24070521010	535
24070521011	179
24070521012	622
24070521013	630
24070521014	453
24070521015	630
24070521016	297
24070521017	0
24070521018	519
24070521019	629
24070521020	480
24070521021	577
24070521022	611
24070521023	639
24070521024	447
24070521025	612
24070521026	627
24070521027	630
24070521028	522
24070521029	506
24070521030	501
24070521031	116
24070521032	539
24070521033	627
24070521034	0
24070521035	499
24070521036	599
24070521037	474
24070521038	621
24070521039	564
24070521040	274
24070521041	21
24070521042	649
24070521043	630
24070521044	624
24070521045	602
24070521046	616
24070521047	630
24070521048	588
24070521049	584
24070521050	604
24070521051	592
24070521053	606
24070521054	468
24070521055	115
24070521056	225
24070521057	0
24070521058	630
24070521059	300
24070521060	0
24070521061	549
24070521062	182
24070521063	491
24070521064	414
24070521065	310
24070521066	582
24070521067	341
24070521068	442
24070521069	599
24070521070	566
24070521071	307
24070521072	0
24070521073	629
24070521074	207
24070521075	587
24070521076	604
24070521077	614
24070521078	629
24070521079	569
24070521080	613
24070521081	433
24070521082	244
24070521083	381
24070521084	618
24070521085	102
24070521086	435
24070521087	211
24070521088	355
24070521089	349
24070521090	476
24070521091	627
24070521092	418
24070521093	553
24070521094	575
24070521095	555
24070521096	548
24070521097	311
24070521098	611
24070521099	531
24070521100	404
24070521101	108
24070521102	242
24070521103	567
24070521104	604
24070521105	274
24070521106	593
24070521107	371
24070521108	502
24070521109	577
24070521110	596
24070521111	354
24070521112	612
24070521113	387
24070521114	621
24070521116	453
24070521117	350
24070521118	528
24070521119	225
24070521120	371
24070521121	601
24070521122	429
24070521123	630
24070521124	609
24070521125	468
24070521126	574
24070521127	594
24070521128	355
24070521129	243
24070521130	570
24070521131	540
24070521132	66
24070521133	336
24070521134	377
24070521135	501
24070521136	0
24070521137	487
24070521138	404
24070521139	553
24070521140	0
24070521141	627
24070521142	504
24070521143	628
24070521144	496
24070521145	629
24070521146	638
24070521147	622
24070521148	627
24070521149	502
24070521150	610
24070521151	581
24070521152	
24070521153	623
24070521154	206
24070521155	481
24070521156	621
24070521157	628
24070521158	575
24070521159	619
24070521160	584
24070521161	628
24070521162	630
24070521163	537
24070521164	629
24070521165	334
24070521166	585
24070521167	619
24070521168	318
24070521169	392
24070521170	591
24070521171	391
24070521172	612
24070521174	638
24070521175	622
24070521176	482
24070521177	294
24070521178	408
24070521179	601
24070521180	471
24070521181	602
24070521182	0
24070521183	274
24070521184	560
24070521185	513
24070521186	565
24070521187	614
24070521188	88
24070521189	597
24070521190	0
24070521191	630
24070521192	446
24070521193	627
24070521194	622
24070521195	630
24070521196	440
24070521197	399
24070521198	201
24070521199	630
24070521200	630
24070521201	630
24070521202	630
24070521203	629
24070521204	627
24070521205	424
24070521206	526
24070521207	629
24070521208	621
24070521209	288
24070521210	165
24070521211	629
24070521212	627
24070521213	207
24070521214	630
24070521215	583
24070521216	449
24070521217	558
24070521218	297
24070521219	419
24070521220	593
24070521221	630
24070521222	406
24070521223	546
24070521224	0
24070521225	419
24070521226	627
24070521227	280
24070521228	626
24070521229	581
24070521230	241
24070521231	620
24070521232	498
24070521233	319
24070521234	490
24070521235	445
24070521236	492
24070521237	313
24070521238	51
24070521239	572
24070521240	578
24070521241	188
24070521242	492
24070521243	594
24070521244	446
24070521245	638
24070521246	460
24070521247	35
24070521248	548
24070521249	522
24070521250	626
24070521251	566
24070521252	290
24070521253	569
24070521254	0
24070521255	585
24070521256	314
24070521257	630
24070521258	0
24070521259	509
24070521260	285
24070521261	0
24070521262	355
24070521263	188
24070521264	630
24070521265	197
24070521266	0
24070521267	317
24070521268	630
24070521269	486
24070521270	624
24070521271	183
24070521272	454
24070521273	561
24070521274	244
24070521275	619
24070521276	228
24070521277	212
24070521279	640
24070521280	630
24070521281	328
24070521282	630
24070521283	139
24070521284	165
24070521286	184
24070521287	630
24070521288	192
24070521289	6
24070521292	264
24070521293	55
24070521296	0
